0	city.n.01
1	person.n.01
2	change.v.01
3	bird_genus.n.01
4	writer.n.01
5	mammal_genus.n.01
6	herb.n.01
7	asterid_dicot_genus.n.01
8	shrub.n.01
9	rosid_dicot_genus.n.01
10	town.n.01
11	fish_genus.n.01
12	arthropod_genus.n.01
13	animal_order.n.01
14	dicot_genus.n.01
15	monocot_genus.n.01
16	dilleniid_dicot_genus.n.01
17	river.n.01
18	change.v.02
19	port.n.01
20	geographical_area.n.01
21	tree.n.01
22	national_capital.n.01
23	arthropod_family.n.01
24	fabric.n.01
25	compositae.n.01
26	fish_family.n.01
27	reptile_genus.n.01
28	poet.n.01
29	quality.n.01
30	island.n.01
31	class.n.07
32	chromatic.a.03
33	dish.n.02
34	bird_family.n.01
35	time_period.n.01
36	vein.n.01
37	composer.n.01
38	fungus_genus.n.01
39	be.v.01
40	monetary_unit.n.01
41	mineral.n.01
42	cardinal.a.02
43	device.n.01
44	travel.v.01
45	flower.n.01
46	philosopher.n.01
47	mammal_family.n.01
48	inflammation.n.01
49	statesman.n.01
50	fern_genus.n.01
51	painter.n.01
52	remove.v.01
53	condition.n.01
54	terrorist_organization.n.01
55	position.n.06
56	symptom.n.01
57	papilionoideae.n.01
58	supply.v.01
59	move.v.03
60	physicist.n.01
61	wood.n.01
62	pitched_battle.n.01
63	collection.n.01
64	move.v.02
65	ordinal.a.02
66	dramatist.n.01
67	actor.n.01
68	orchid.n.01
69	fern.n.01
70	caryophylloid_dicot_genus.n.01
71	vine.n.01
72	mythical_being.n.01
73	cover.v.01
74	medicine.n.02
75	measuring_instrument.n.01
76	wildflower.n.01
77	room.n.01
78	organic_process.n.01
79	letter.n.02
80	united_states.n.01
81	general.n.01
82	fictional_character.n.01
83	king.n.01
84	france.n.01
85	constellation.n.02
86	acid.n.01
87	orchidaceae.n.01
88	chemist.n.01
89	building.n.01
90	agaric.n.02
91	put.v.01
92	metallic_element.n.01
93	edible_fruit.n.01
94	compound.n.02
95	artery.n.01
96	activity.n.01
97	change_state.v.01
98	plant_order.n.01
99	liliid_monocot_genus.n.01
100	england.n.01
101	act.v.01
102	fungus.n.01
103	dicot_family.n.01
104	worker.n.01
105	state.n.02
106	fungus_family.n.01
107	formed.a.01
108	bone.n.01
109	mountain_peak.n.01
110	liliaceae.n.01
111	american.n.01
112	architect.n.01
113	agency.n.01
114	structure.n.01
115	operation.n.06
116	natural_process.n.01
117	garment.n.01
118	skilled_worker.n.01
119	gymnosperm_genus.n.01
120	greek_deity.n.01
121	european.n.01
122	country.n.02
123	structure.n.04
124	ship.n.01
125	salt.n.01
126	doctrine.n.01
127	africa.n.01
128	woman.n.01
129	utter.v.02
130	pathology.n.02
131	magnoliid_dicot_genus.n.01
132	fasten.v.01
133	book.n.10
134	sound.n.04
135	man.n.01
136	car.n.01
137	subshrub.n.01
138	perciformes.n.01
139	europe.n.01
140	angiospermous_tree.n.01
141	state_capital.n.01
142	sound.v.02
143	range.n.04
144	make.v.03
145	gramineae.n.01
146	containerful.n.01
147	word.n.01
148	singer.n.01
149	mathematician.n.01
150	cut.v.01
151	percoid_fish.n.01
152	grass.n.01
153	italy.n.01
154	fruit_tree.n.01
155	california.n.01
156	archipelago.n.01
157	american_state.n.01
158	abnormality.n.01
159	semitic_deity.n.01
160	physical_condition.n.01
161	lake.n.01
162	cruciferae.n.01
163	body_part.n.01
164	organic_compound.n.01
165	labiatae.n.01
166	asian.n.01
167	african.n.01
168	actress.n.01
169	texas.n.01
170	soldier.n.01
171	sauce.n.01
172	organism.n.01
173	material.n.01
174	germany.n.01
175	film_maker.n.01
176	container.n.01
177	animal.n.01
178	people.n.01
179	noise.n.01
180	large_integer.n.01
181	hindu_deity.n.01
182	plant_genus.n.01
183	large.a.01
184	flavorer.n.01
185	chemical_element.n.01
186	theologian.n.01
187	official.n.01
188	national_park.n.01
