abridged.a.01	also_sees	short.a.01
abstemious.a.01	also_sees	nonindulgent.a.01
gluttonous.a.01	also_sees	indulgent.a.01
abstract.a.01	also_sees	intangible.a.02
abstract.a.01	also_sees	nonrepresentational.a.01
concrete.a.01	also_sees	practical.a.01
concrete.a.01	also_sees	real.a.01
concrete.a.01	also_sees	tangible.a.01
abundant.a.01	also_sees	ample.a.01
abundant.a.01	also_sees	rich.a.01
scarce.a.01	also_sees	meager.a.01
acceptable.a.01	also_sees	satisfactory.a.01
unacceptable.a.02	also_sees	unsatisfactory.a.01
unacceptable.a.02	also_sees	unwelcome.a.01
accessible.a.01	also_sees	convenient.a.01
accommodating.a.01	also_sees	good-natured.a.01
accommodating.a.01	also_sees	helpful.a.01
accommodating.a.01	also_sees	kind.a.01
accurate.a.01	also_sees	correct.a.01
accurate.a.01	also_sees	exact.a.01
accurate.a.01	also_sees	precise.a.01
inaccurate.a.01	also_sees	imprecise.a.01
inaccurate.a.01	also_sees	incorrect.a.01
inaccurate.a.01	also_sees	inexact.a.01
acknowledged.a.01	also_sees	known.a.01
unacknowledged.a.01	also_sees	unknown.a.01
active.a.05	also_sees	energetic.a.01
active.a.05	also_sees	lively.a.01
inactive.a.09	also_sees	lethargic.a.01
active.a.12	also_sees	live.a.02
adequate.a.01	also_sees	satisfactory.a.01
inadequate.a.01	also_sees	unsatisfactory.a.01
adorned.a.01	also_sees	clothed.a.01
adorned.a.01	also_sees	fancy.a.01
unadorned.a.01	also_sees	plain.a.02
unadorned.a.01	also_sees	unclothed.a.01
adroit.a.01	also_sees	artful.a.02
maladroit.a.01	also_sees	awkward.a.02
advantageous.a.01	also_sees	expedient.a.01
advantageous.a.01	also_sees	opportune.a.01
advantageous.a.01	also_sees	profitable.a.01
disadvantageous.a.01	also_sees	harmful.a.01
disadvantageous.a.01	also_sees	inexpedient.a.01
disadvantageous.a.01	also_sees	inopportune.a.01
adventurous.a.01	also_sees	bold.a.01
adventurous.a.01	also_sees	brave.a.01
adventurous.a.01	also_sees	incautious.a.01
unadventurous.a.01	also_sees	cautious.a.01
unadventurous.a.01	also_sees	timid.a.01
advisable.a.01	also_sees	prudent.a.01
advisable.a.01	also_sees	wise.a.01
inadvisable.a.01	also_sees	foolish.a.01
inadvisable.a.01	also_sees	imprudent.a.01
well-advised.a.01	also_sees	wise.a.01
ill-advised.a.01	also_sees	foolish.a.01
ill-advised.a.01	also_sees	imprudent.a.01
affected.a.01	also_sees	moved.a.01
unaffected.a.01	also_sees	unmoved.a.01
affected.a.02	also_sees	studied.a.01
unaffected.a.04	also_sees	unstudied.a.01
affirmative.a.01	also_sees	favorable.a.01
affirmative.a.01	also_sees	positive.a.01
negative.a.02	also_sees	disinclined.a.01
negative.a.02	also_sees	unfavorable.a.01
afraid.a.01	also_sees	cowardly.a.01
afraid.a.01	also_sees	timid.a.01
unafraid.a.01	also_sees	bold.a.01
unafraid.a.01	also_sees	brave.a.01
aggressive.a.01	also_sees	assertive.a.01
aggressive.a.01	also_sees	hostile.a.01
aggressive.a.01	also_sees	offensive.a.02
unaggressive.a.01	also_sees	peaceful.a.01
unaggressive.a.01	also_sees	unassertive.a.01
agitated.a.01	also_sees	discomposed.a.01
agitated.a.01	also_sees	excited.a.02
agitated.a.01	also_sees	impatient.a.01
agitated.a.01	also_sees	tense.a.01
agitated.a.01	also_sees	unquiet.a.01
agitated.a.01	also_sees	unsteady.a.01
unagitated.a.02	also_sees	composed.a.01
